uid,resp_time,other_relaxing,other_working,relaxing,working,location
u00,2013-04-09 06:13:44,2.0,2.0,2.0,3.0,
u00,2013-04-09 20:11:32,1.0,4.0,1.0,1.0,
u00,2013-04-10 07:16:12,1.0,4.0,1.0,3.0,
u00,2013-04-17 20:27:22,1.0,5.0,1.0,1.0,
u00,2013-04-18 21:07:12,1.0,3.0,1.0,2.0,null
u00,2013-04-11 15:14:01,1.0,3.0,1.0,2.0,
u00,2013-04-14 06:48:33,4.0,3.0,2.0,2.0,
u00,2013-04-15 06:10:01,5.0,1.0,1.0,1.0,
u00,2013-04-24 22:07:22,1.0,1.0,4.0,3.0,"43.75923622,-72.32892739"
u00,2013-04-22 20:25:02,1.0,1.0,1.0,3.0,"43.70043872,-72.28947989"
u00,2013-04-28 19:23:48,1.0,5.0,3.0,2.0,Unknown
u00,2013-04-25 17:23:18,2.0,4.0,3.0,2.0,"43.70538232,-72.28829514"
u00,2013-04-26 17:21:00,1.0,3.0,1.0,2.0,"43.73657036,-72.31722019"
u00,2013-05-16 22:21:39,1.0,3.0,1.0,3.0,"41.86801662,-71.42865865"
u00,2013-05-15 22:16:13,1.0,2.0,1.0,2.0,"43.7063807,-72.28761844"
u00,2013-06-02 19:32:45,1.0,2.0,3.0,2.0,"43.75938059,-72.32893392"
u00,2013-06-04 19:44:20,1.0,1.0,1.0,1.0,"43.70027628,-72.29281137"
u00,2013-06-07 19:45:55,1.0,3.0,1.0,3.0,"43.7074347,-72.28743734"
u00,2013-08-10 03:43:54,1.0,1.0,1.0,1.0,"43.70579481,-72.28577693"
u01,2013-04-09 06:54:31,3.0,2.0,2.0,2.0,
u01,2013-04-18 20:56:51,3.0,2.0,4.0,1.0,null
u01,2013-04-12 08:21:35,4.0,2.0,1.0,2.0,
u02,2013-04-08 05:16:32,2.0,2.0,1.0,2.0,
u02,2013-04-10 09:45:01,1.0,3.0,1.0,3.0,
u02,2013-04-11 06:00:38,1.0,3.0,1.0,2.0,
u02,2013-04-12 06:02:09,2.0,3.0,1.0,2.0,
u02,2013-04-15 06:01:26,1.0,3.0,1.0,3.0,
u02,2013-04-14 06:28:59,3.0,2.0,1.0,1.0,
u02,2013-04-27 17:16:59,2.0,2.0,1.0,3.0,"43.70715614,-72.29313627"
u02,2013-05-06 07:34:28,4.0,1.0,1.0,2.0,"43.70728638,-72.29279535"
u03,2013-04-08 05:46:26,3.0,1.0,1.0,2.0,
u03,2013-04-10 16:01:30,1.0,1.0,2.0,3.0,
u03,2013-04-12 08:10:50,1.0,1.0,3.0,2.0,
u03,2013-04-15 06:00:07,1.0,1.0,3.0,3.0,
u03,2013-04-21 17:17:33,3.0,1.0,1.0,2.0,"43.70536261,-72.28318195"
u03,2013-04-22 15:23:11,1.0,2.0,1.0,3.0,"43.70535398,-72.28320533"
u03,2013-04-24 00:59:50,1.0,1.0,2.0,4.0,"43.70529062,-72.2832795"
u03,2013-04-28 18:35:43,2.0,1.0,1.0,4.0,"43.70520757,-72.28296334"
u03,2013-04-25 17:33:09,1.0,1.0,2.0,3.0,"43.70545245,-72.2829737"
u03,2013-05-06 01:18:33,3.0,1.0,2.0,1.0,"43.70534815,-72.28310122"
u03,2013-05-12 19:33:59,2.0,1.0,3.0,1.0,"43.70579533,-72.28356911"
u04,2013-04-08 04:19:24,3.0,2.0,3.0,1.0,
u04,2013-04-09 07:03:21,2.0,3.0,2.0,3.0,
