uid,angry,apathetic,appreciative,disappointed,empathic,frustrated,location,proud,resp_time,saddened
u00,4.0,1.0,3.0,3.0,2.0,5.0,"43.7593102,-72.32920832",3.0,2013-04-27 20:29:52,4.0
u00,4.0,1.0,1.0,5.0,1.0,4.0,"43.75926182,-72.32910699",1.0,2013-04-26 06:50:26,5.0
u00,1.0,1.0,3.0,4.0,1.0,3.0,"43.70097956,-72.28942263",1.0,2013-04-26 20:39:14,5.0
u00,1.0,1.0,1.0,1.0,1.0,1.0,"43.63321754,-72.3016832",1.0,2013-08-13 01:08:09,1.0
u02,4.0,1.0,1.0,4.0,1.0,3.0,"43.70750173,-72.28530751",1.0,2013-04-26 04:18:23,1.0
u04,1.0,3.0,2.0,3.0,2.0,3.0,"43.70344997,-72.28854686",2.0,2013-04-26 05:29:44,1.0
u04,4.0,2.0,1.0,4.0,2.0,5.0,"43.70298642,-72.29865063",1.0,2013-04-27 21:36:24,3.0
u08,5.0,1.0,1.0,5.0,1.0,5.0,"43.70343829,-72.28645877",1.0,2013-04-25 21:55:48,4.0
u12,1.0,2.0,1.0,4.0,1.0,3.0,"43.63742738,-72.24746305",1.0,2013-04-27 20:08:48,2.0
u14,1.0,3.0,3.0,1.0,2.0,1.0,"43.70453787,-72.28741118",4.0,2013-04-25 20:04:03,1.0
u16,3.0,1.0,1.0,1.0,1.0,1.0,"43.70381392,-72.29084126",1.0,2013-04-26 04:00:48,1.0
u16,5.0,1.0,1.0,4.0,1.0,5.0,"43.70383449,-72.29122954",1.0,2013-04-27 20:37:49,1.0
u16,5.0,2.0,1.0,5.0,1.0,5.0,"43.70381392,-72.29084126",1.0,2013-04-26 20:04:18,1.0
u17,1.0,1.0,3.0,1.0,3.0,2.0,"43.7060191,-72.28758328",3.0,2013-04-26 09:05:29,1.0
u17,1.0,1.0,3.0,1.0,3.0,3.0,Unknown,3.0,2013-04-29 04:28:39,1.0
u18,1.0,1.0,1.0,1.0,2.0,1.0,"43.70727129,-72.28904655",1.0,2013-04-26 04:29:27,3.0
u27,1.0,2.0,2.0,3.0,2.0,4.0,Unknown,1.0,2013-04-25 17:17:03,3.0
u30,2.0,3.0,2.0,3.0,1.0,3.0,"43.70906142,-72.28431236",1.0,2013-04-29 17:59:56,2.0
u32,4.0,2.0,3.0,4.0,3.0,3.0,"43.70608389,-72.29104393",3.0,2013-04-26 02:35:07,4.0
u33,3.0,5.0,2.0,5.0,1.0,3.0,"43.7037887,-72.29615197",1.0,2013-04-26 20:37:37,3.0
u33,4.0,5.0,1.0,4.0,1.0,4.0,"43.7046068,-72.2940905",1.0,2013-04-30 07:22:42,3.0
u36,3.0,3.0,2.0,2.0,3.0,3.0,"43.65191693,-72.31010354",1.0,2013-04-26 04:16:06,3.0
u36,3.0,3.0,3.0,3.0,3.0,3.0,"43.706598819999996,-72.28705791",3.0,2013-04-26 21:20:38,3.0
u36,3.0,3.0,3.0,3.0,3.0,3.0,"43.70674054,-72.28704712",3.0,2013-04-27 22:47:17,3.0
u39,1.0,1.0,1.0,1.0,1.0,1.0,"43.70691563,-72.28615388",1.0,2013-04-25 20:32:12,1.0
u43,2.0,3.0,2.0,3.0,2.0,2.0,"43.70540816,-72.29195287",2.0,2013-04-26 04:05:38,2.0
u44,1.0,1.0,3.0,1.0,3.0,1.0,"43.69221585,-72.26709452",3.0,2013-04-25 16:28:58,1.0
u49,1.0,2.0,4.0,1.0,3.0,1.0,"43.703031172628,-72.29099392229304",3.0,2013-04-26 04:06:40,1.0
u50,1.0,1.0,1.0,1.0,1.0,1.0,Unknown,1.0,2013-06-03 20:34:17,1.0
u50,1.0,1.0,3.0,1.0,4.0,1.0,Unknown,2.0,2013-06-03 20:34:17,1.0
u51,1.0,1.0,4.0,1.0,2.0,1.0,"43.70662402,-72.28686449",4.0,2013-04-26 04:56:10,1.0
u51,1.0,1.0,1.0,1.0,1.0,1.0,"43.70353508,-72.28958431",1.0,2013-04-26 21:09:08,1.0
u52,1.0,5.0,5.0,2.0,2.0,2.0,"43.7035929,-72.29015891666667",1.0,2013-04-26 20:03:06,1.0
u53,1.0,5.0,1.0,2.0,1.0,2.0,"43.70599247,-72.28865734",1.0,2013-04-26 20:30:35,1.0
u56,3.0,2.0,1.0,4.0,2.0,3.0,"43.71686557,-72.30908124",1.0,2013-04-26 18:18:50,4.0
u57,1.0,2.0,3.0,1.0,4.0,2.0,"43.70666061,-72.28903716",3.0,2013-04-26 20:00:49,1.0
u58,1.0,1.0,1.0,1.0,1.0,1.0,"43.70624722,-72.28332992",1.0,2013-04-26 04:49:28,1.0
u59,1.0,1.0,4.0,1.0,3.0,1.0,"43.705345443449914,-72.29143733158708",3.0,2013-04-26 04:11:04,1.0
