uid,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
u00,2013-04-08 21:04:28,4.0,4,5,2.0,3,3,4,4,3,4,
u00,2013-04-10 19:19:47,5.0,3,3,1.0,4,4,4,3,1,4,
u00,2013-04-16 20:58:39,4.0,3,3,3.0,4,2,4,4,2,4,
u00,2013-04-17 20:17:57,4.0,5,2,1.0,4,3,5,3,1,4,
u00,2013-04-26 20:41:51,5.0,3,4,2.0,5,1,4,3,1,3,"43.7029479,-72.28940835"
u00,2013-05-16 00:04:55,3.0,2,2,3.0,3,2,3,2,2,2,"43.70665493,-72.28692711"
u00,2013-05-15 00:06:54,3.0,null,null,3.0,3,3,3,3,3,3,"43.6454475,-72.31806167"
u00,2013-05-18 00:36:39,4.0,4,3,2.0,3,3,2,3,5,4,Unknown
u00,2013-05-19 21:03:33,3.0,3,2,3.0,3,3,3,3,null,2,Unknown
u00,2013-05-21 16:34:28,4.0,2,3,5.0,3,3,1,2,3,1,"43.70625307,-72.28700801"
u00,2013-08-08 00:47:52,2.0,null,null,1.0,null,null,null,null,null,null,"43.71339054,-72.30883507"
u02,2013-04-17 20:03:44,2.0,4.0,3.0,3.0,3.0,1.0,5.0,4.0,2.0,5.0,
u02,2013-04-17 08:06:03,1.0,5.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,4.0,
u03,2013-04-09 17:05:21,1.0,5.0,3,4.0,4.0,1.0,3.0,5.0,4.0,3.0,
u03,2013-05-06 01:19:04,3.0,2.0,3,3.0,1.0,3.0,3.0,3.0,2.0,2.0,"43.70525531,-72.28306569"
u03,2013-05-12 19:34:20,1.0,4.0,null,1.0,5.0,2.0,4.0,5.0,4.0,4.0,"43.70579533,-72.28356911"
u04,2013-04-08 22:08:44,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,
u04,2013-04-17 21:05:47,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,
u04,2013-04-11 23:26:26,4.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,
u04,2013-04-12 04:39:54,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,
u07,2013-04-12 08:53:01,2.0,4.0,3.0,1.0,3.0,1.0,4.0,3.0,4.0,4.0,
u07,2013-04-11 20:05:07,2.0,4.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,5.0,
u07,2013-04-11 19:09:52,2.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,
u07,2013-04-17 08:11:25,2.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0,
u07,2013-04-17 03:38:36,1.0,4.0,3.0,1.0,2.0,1.0,4.0,3.0,4.0,2.0,
u07,2013-04-18 00:34:06,2.0,4.0,3.0,2.0,4.0,1.0,4.0,3.0,4.0,4.0,
u08,2013-04-08 02:54:42,1.0,4.0,4,2.0,5.0,2.0,4.0,4.0,3.0,2.0,
u08,2013-04-15 07:22:28,4.0,3.0,5,3.0,5.0,3.0,3.0,2.0,3.0,3.0,
u08,2013-04-09 09:35:59,2.0,4.0,3,2.0,4.0,2.0,4.0,4.0,5.0,3.0,
u08,2013-04-12 02:20:25,2.0,5.0,4,2.0,4.0,3.0,4.0,2.0,5.0,4.0,
u08,2013-04-10 10:33:13,3.0,5.0,4,2.0,4.0,2.0,2.0,2.0,4.0,3.0,
u08,2013-04-11 03:37:42,3.0,4.0,4,2.0,4.0,2.0,4.0,4.0,2.0,4.0,
u08,2013-04-12 12:36:12,5.0,3.0,4,3.0,4.0,3.0,1.0,2.0,4.0,2.0,
u08,2013-04-13 11:34:04,2.0,4.0,3,2.0,5.0,2.0,5.0,5.0,3.0,5.0,
u08,2013-04-15 04:07:16,3.0,5.0,5,2.0,4.0,4.0,2.0,4.0,3.0,4.0,
u08,2013-04-14 05:39:49,4.0,4.0,4,2.0,4.0,2.0,2.0,2.0,5.0,3.0,
u08,2013-04-16 04:12:27,4.0,2.0,4,5.0,4.0,4.0,2.0,2.0,3.0,4.0,
u08,2013-04-17 03:56:52,3.0,4.0,4,2.0,4.0,2.0,2.0,3.0,4.0,3.0,
u08,2013-04-18 06:05:07,4.0,2.0,4,3.0,4.0,4.0,1.0,2.0,4.0,3.0,
u08,2013-04-26 07:14:03,2.0,4.0,4,2.0,5.0,2.0,3.0,4.0,4.0,4.0,"43.70277439,-72.28880163"
u08,2013-04-25 21:55:48,2.0,4.0,4,2.0,4.0,2.0,4.0,4.0,4.0,4.0,"43.70343829,-72.28645877"
u08,2013-04-27 00:29:06,4.0,3.0,4,1.0,4.0,2.0,1.0,2.0,4.0,3.0,"43.70295661,-72.28995533"
u08,2013-05-02 01:21:53,1.0,5.0,3,1.0,5.0,2.0,5.0,4.0,2.0,4.0,"43.70086878,-72.28956496"
u08,2013-05-01 21:55:39,2.0,4.0,4,2.0,4.0,4.0,2.0,4.0,3.0,5.0,"43.70708811,-72.28767562"
u08,2013-05-01 09:15:56,2.0,4.0,null,2.0,4.0,2.0,2.0,4.0,3.0,4.0,"43.70708811,-72.28767562"
u08,2013-05-17 00:01:42,3.0,3.0,3,3.0,3.0,3.0,4.0,3.0,3.0,3.0,Unknown
u08,2013-05-05 09:18:56,2.0,5.0,5,1.0,4.0,2.0,5.0,4.0,2.0,4.0,"43.7037094,-72.28660102"
u08,2013-05-07 03:50:46,2.0,4.0,4,2.0,4.0,2.0,2.0,3.0,4.0,3.0,"43.7049437,-72.28880281"
u08,2013-05-19 22:36:44,5.0,2.0,5,3.0,3.0,4.0,1.0,2.0,4.0,2.0,"43.70464992,-72.28729712"
u08,2013-05-23 13:38:18,3.0,4.0,4,1.0,1.0,4.0,1.0,1.0,4.0,3.0,"43.70447785,-72.29155849"
u10,2013-04-08 21:56:05,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,
u10,2013-04-16 21:54:08,3.0,2.0,3.0,5.0,3.0,3.0,4.0,2.0,4.0,1.0,
u12,2013-04-11 06:58:15,,,,4.0,4.0,,1.0,,,,
u12,2013-04-16 20:48:28,2.0,null,null,3.0,4.0,null,3.0,3.0,3.0,3.0,
u12,2013-04-12 17:48:51,3.0,3,3,2.0,5.0,4,3.0,2.0,3.0,2.0,
u12,2013-04-13 22:23:38,3.0,3,3,1.0,5.0,3,3.0,2.0,3.0,3.0,
u12,2013-04-14 06:02:41,3.0,3,3,3.0,4.0,4,4.0,3.0,5.0,2.0,
u14,2013-04-09 09:08:38,1.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,
u14,2013-04-17 21:26:12,1.0,5.0,3.0,1.0,4.0,1.0,3.0,3.0,4.0,3.0,
u14,2013-04-18 20:40:30,1.0,5.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,
u15,2013-04-17 03:02:47,1.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,
u15,2013-04-18 20:16:36,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,
