uid,location,resp_time,words
u00,Unknown,2013-04-25 02:40:51,bummef
u00,"43.75923622,-72.32892739",2013-04-24 22:01:10,falling behind
u00,"43.75923622,-72.32892739",2013-04-24 20:00:44,there is a need for pause and reflection
u01,"43.7068113,-72.28917239",2013-04-25 02:13:59,Terrible and stupid response
u04,"43.70284192,-72.28973913",2013-04-24 21:02:53,unnecessary
u07,"43.70432976,-72.28372078",2013-04-24 20:31:17,Absurd
u08,"43.70466963,-72.28690138",2013-04-24 21:09:59,bad idea
u08,"43.7016753,-72.28841929",2013-04-25 06:00:45,annoyed
u10,"43.70324408,-72.28961597",2013-04-25 02:00:56,bs
u10,"43.70324408,-72.28961597",2013-04-24 20:12:14,bullshit
u14,"43.7048191,-72.2868582",2013-04-24 20:00:36,awesome
u14,"43.70453787,-72.28741118",2013-04-25 20:04:12,homework
u16,"43.70383449,-72.29122954",2013-04-26 22:41:48,unfair
u16,Unknown,2013-04-24 19:22:58,pointless
u16,Unknown,2013-04-24 20:27:08,enabling ignorant people
u16,Unknown,2013-04-24 19:22:30,waste of my tuition
u17,"43.7045396,-72.29122932",2013-04-24 20:39:06,surprised
u17,"43.7060191,-72.28758328",2013-04-26 16:04:22,--
u17,Unknown,2013-04-29 04:29:19,---
u18,Unknown,2013-04-25 17:16:14,ugh
u18,Unknown,2013-04-25 17:16:18,yay
u19,"43.70661212,-72.28703723",2013-04-25 06:02:53,frustrated
u19,"43.70726531,-72.28611408",2013-05-04 07:23:42,token action by the administration that won't really achieve anything
u27,"43.70397847,-72.28588885",2013-04-25 06:01:09,meh
u30,"41.23064284,-73.0728831",2013-04-25 04:00:20,unnecessary
u32,"43.70392276,-72.28729666",2013-04-24 21:15:12,goof cause but maybe not best avenue for response
u33,"43.70669199,-72.28789056",2013-04-25 02:02:18,grateful
u35,"43.70696392,-72.28734398",2013-05-07 00:03:37,excited
u39,"43.70691563,-72.28615388",2013-04-25 20:32:13,happy
u44,"43.69935873,-72.28135033",2013-04-25 02:49:27,needed
u46,"43.70575521,-72.28783634",2013-04-25 05:49:37,it was pretty pointless. most people went out to frats last night rather than participating in discussions
u49,"43.70780167305154,-72.28728301074209",2013-04-25 02:03:08,restful and productiv
u51,"43.70640943,-72.28705125",2013-04-24 21:38:40,no
u56,"43.71672365,-72.30903137",2013-04-25 00:54:09,it's kinda bullshit
u57,"43.70704097,-72.28912748",2013-04-24 20:11:01,It's important to realize that the issues that led to classes being cancelled are important. Canceling classes is such a rare thing that it really emphasizes this. I think missing one day of classes in order to try to grow as a campus is worthwhile and justified. After all learning isn't only done in the class room.
u58,"43.70593948,-72.28355406",2013-04-24 20:00:20,nervous
u59,"43.706238619051874,-72.28979657404125",2013-04-25 18:09:00,a lot of procrastination
u59,"43.70609541423619,-72.29080709628761",2013-04-25 02:03:44,I slept a lot today
u59,"43.703413414768875,-72.28902460075915",2013-04-24 23:05:44,more sleep yay
u59,"43.706238619051874,-72.28979657404125",2013-04-25 18:08:47,a lot of procrastination
