uid,challenge,effort,grade,location,resp_time
u00,1.0,1.0,4.0,"43.75924116,-72.32919107",2013-04-25 06:12:47
u00,3.0,4.0,5.0,"48.88597611,2.34306365",2013-05-06 16:51:50
u00,1.0,1.0,1.0,"43.75930193,-72.32937522",2013-05-20 00:16:11
u01,1.0,1.0,2.0,"43.70669748,-72.28920919",2013-04-26 19:20:29
u01,1.0,1.0,2.0,"43.70684561,-72.28922683",2013-05-01 01:02:54
u02,1.0,1.0,1.0,"43.70870796,-72.28461773",2013-04-25 22:00:38
u03,2.0,3.0,1.0,"43.70532889,-72.2831334",2013-04-26 19:45:06
u03,5.0,2.0,1.0,"43.705163399999996,-72.28289165",2013-04-30 01:16:15
u03,3.0,2.0,1.0,"43.70534815,-72.28310122",2013-05-06 01:18:22
u04,1.0,2.0,2.0,"43.70409969,-72.28766526",2013-05-01 23:09:08
u04,1.0,1.0,3.0,"43.70301713,-72.28946281",2013-05-06 22:59:30
u07,2.0,1.0,1.0,"43.70431894,-72.28361097",2013-04-28 22:23:10
u08,1.0,1.0,1.0,"43.70277439,-72.28880163",2013-04-26 07:15:08
u08,1.0,1.0,1.0,"43.70295661,-72.28995533",2013-04-27 00:29:26
u08,1.0,1.0,1.0,"43.7040466,-72.28792335",2013-05-01 23:18:26
u08,1.0,1.0,1.0,"43.70708811,-72.28767562",2013-05-01 09:16:21
u08,1.0,1.0,1.0,"43.70708811,-72.28767562",2013-05-01 21:57:14
u08,1.0,1.0,1.0,"43.7037094,-72.28660102",2013-05-05 09:19:16
u08,4.0,1.0,1.0,"43.7049437,-72.28880281",2013-05-07 03:51:19
u08,4.0,4.0,1.0,"43.70447785,-72.29155849",2013-05-23 13:38:54
u10,1.0,1.0,1.0,"43.70330372,-72.2898598",2013-04-26 19:46:04
u10,2.0,2.0,1.0,"43.70356557,-72.28914222",2013-04-25 16:34:15
u10,1.0,1.0,1.0,"43.70416259,-72.2875169",2013-04-27 19:21:56
u12,1.0,1.0,5.0,"43.63746124,-72.24829138",2013-05-04 22:29:57
u14,1.0,1.0,1.0,"43.70502212,-72.28767955",2013-04-30 23:58:58
u14,1.0,1.0,1.0,"43.70595378,-72.28847925",2013-05-01 23:15:11
u16,1.0,1.0,2.0,"43.70381392,-72.29084126",2013-04-26 04:01:12
u16,1.0,1.0,2.0,"43.70395286,-72.29107028",2013-05-01 23:08:01
u16,1.0,1.0,3.0,"43.70660885,-72.28790486",2013-05-02 23:02:40
u16,2.0,3.0,2.0,"43.70374249,-72.29050587",2013-05-15 21:35:28
u16,2.0,3.0,2.0,"43.70375094,-72.29015668",2013-05-05 22:00:26
u17,1.0,1.0,1.0,"43.7060191,-72.28758328",2013-04-26 16:04:58
u17,1.0,1.0,1.0,Unknown,2013-04-29 04:30:24
u17,1.0,1.0,2.0,"43.7044126,-72.29099969",2013-04-30 23:21:38
u17,1.0,1.0,2.0,"43.70765231,-72.28532082",2013-05-02 23:27:10
