uid,resp_time,course_id,due,experience,hours,location
u00,2013-04-01 01:25:48,,2.0,1.0,1.0,"43.76243366,-72.32615434"
u00,2013-03-26 04:26:33,cs65,2.0,3.0,1.0,"43.70544533,-72.28679012"
u00,2013-03-27 04:07:51,,1.0,1.0,1.0,"43.75932116,-72.32890406"
u00,2013-03-28 22:19:40,cs65,2.0,2.0,1.0,"43.70033175,-72.28949659"
u00,2013-03-28 00:10:26,c65,2.0,3.0,2.0,"43.70465788,-72.2887224"
u00,2013-03-29 00:26:11,cs65,2.0,3.0,2.0,"43.70688502,-72.28755706"
u00,2013-03-29 19:02:07,cs65,2.0,3.0,1.0,"43.70777831,-72.28510534"
u00,2013-03-30 00:06:02,cs66,2.0,3.0,3.0,"43.70587194,-72.28717655"
u00,2013-04-02 22:01:47,cs65,2.0,3.0,3.0,Unknown
u00,2013-04-01 23:06:11,cs65,1.0,2.0,4.0,"43.70534371,-72.28812527"
u00,2013-04-04 22:44:55,cs65,2.0,3.0,7.0,"43.70708859,-72.28753397"
u00,2013-04-05 23:03:48,econ 112,2.0,3.0,6.0,"43.70708859,-72.28753397"
u00,2013-04-05 20:37:21,cs65,1.0,2.0,6.0,"43.70708859,-72.28753397"
u00,2013-04-08 10:25:12,cs65,2.0,3.0,7.0,"43.75927189,-72.32919082"
u00,2013-04-10 00:02:58,cs65,1.0,3.0,7.0,"43.70664656,-72.28802135"
u00,2013-04-18 18:54:01,cs65,2.0,3.0,5.0,"43.70564911,-72.28828499"
u00,2013-04-12 00:00:38,cs65,2.0,3.0,7.0,"43.70112711,-72.28654942"
u00,2013-04-14 00:05:27,cs65,1.0,2.0,6.0,Unknown
u00,2013-04-16 00:01:29,cs65,1.0,1.0,9.0,"43.70527272,-72.28801274"
u00,2013-04-20 01:00:50,cs65,1.0,3.0,7.0,"43.17964043,-71.53319806"
u00,2013-04-24 02:05:56,cs65,2.0,4.0,7.0,"43.7066689,-72.28741879"
u00,2013-04-26 20:40:35,cs65,2.0,3.0,11.0,"43.70188823,-72.28930991"
u01,2013-03-30 00:32:52,Anth12,2.0,5.0,2.0,"43.70672295,-72.28910432"
u01,2013-04-02 06:03:27,Anth12,2.0,4.0,1.0,"43.70684413,-72.2891193"
u01,2013-04-03 17:54:06,Engs22,1.0,5.0,6.0,"43.70517994,-72.29245008"
u01,2013-03-27 04:45:47,no class today,2.0,1.0,1.0,"43.70715076,-72.28896815"
u01,2013-03-27 18:06:29,Engs22,2.0,4.0,2.0,"43.70584333,-72.29017652"
u01,2013-03-27 22:38:39,Cs65,2.0,3.0,1.0,"43.70678239,-72.28918145"
u01,2013-03-28 00:00:49,Anth12,1.0,4.0,2.0,"43.70678554,-72.2892457"
u01,2013-03-27 22:39:26,Anth12,1.0,4.0,2.0,"43.70678414,-72.28915682"
u01,2013-03-30 00:32:19,Cs65,2.0,3.0,1.0,"43.7067041,-72.28916968"
u01,2013-03-30 00:32:00,Engs22,2.0,5.0,1.0,"43.70670639,-72.28914746"
u01,2013-04-03 19:26:05,Cs65,2.0,3.0,1.0,"43.70609229,-72.28950805"
u01,2013-04-03 22:44:56,Anth12,1.0,5.0,2.0,"43.70508217,-72.29054506"
u01,2013-04-04 20:53:38,Cs65,2.0,3.0,1.0,"43.70859285,-72.28442358"
u01,2013-04-05 20:59:45,Anth12,2.0,4.0,1.0,"43.70691657,-72.28849213"
u01,2013-04-08 19:27:04,Cs65,2.0,1.0,1.0,"43.70542015,-72.29039125"
u01,2013-04-08 19:24:58,Engs22,1.0,1.0,1.0,"43.70542081,-72.29035437"
u01,2013-04-09 00:57:42,Anth12,1.0,5.0,2.0,"43.70424475,-72.28958517"
u01,2013-04-10 19:52:52,Cs65,2.0,3.0,1.0,"43.70687149,-72.28907564"
