uid,angry,apathetic,appreciative,disappointed,empathic,frustrated,location,proud,resp_time,saddened
u00,5.0,1.0,1.0,5.0,1.0,1.0,Unknown,2.0,2013-04-25 02:41:36,5.0
u00,2.0,3.0,2.0,3.0,3.0,3.0,"43.70694027,-72.28679662",1.0,2013-04-25 23:09:22,4.0
u01,5.0,3.0,1.0,5.0,1.0,1.0,"43.70675605,-72.28916867",1.0,2013-04-25 20:28:44,1.0
u03,1.0,2.0,3.0,1.0,3.0,3.0,"43.70841147,-72.28427031",2.0,2013-04-25 20:14:42,3.0
u04,2.0,2.0,1.0,4.0,2.0,5.0,"43.70303973,-72.28975145",1.0,2013-04-25 21:13:23,2.0
u07,5.0,1.0,1.0,5.0,1.0,5.0,"43.70362097,-72.28406105",1.0,2013-04-25 06:25:59,1.0
u08,4.0,1.0,2.0,5.0,3.0,5.0,"43.70343829,-72.28645877",1.0,2013-04-25 21:48:38,2.0
u10,5.0,1.0,1.0,5.0,1.0,5.0,"43.70297206,-72.28625376",1.0,2013-04-25 03:15:33,1.0
u12,4.0,2.0,1.0,5.0,1.0,3.0,"43.6373822,-72.24726718",1.0,2013-04-27 20:09:21,4.0
u16,4.0,5.0,1.0,5.0,1.0,5.0,"43.70381392,-72.29084126",1.0,2013-04-26 04:01:40,1.0
u16,5.0,2.0,1.0,5.0,1.0,4.0,"43.70381392,-72.29084126",1.0,2013-04-26 20:04:51,1.0
u17,1.0,1.0,3.0,2.0,4.0,1.0,"43.70447688,-72.28790306",3.0,2013-04-25 20:53:00,1.0
u17,1.0,1.0,3.0,1.0,3.0,1.0,Unknown,2.0,2013-04-29 04:31:52,1.0
u19,2.0,3.0,1.0,3.0,1.0,3.0,"43.70661212,-72.28703723",2.0,2013-04-25 06:03:33,1.0
u19,1.0,2.0,1.0,2.0,1.0,2.0,"43.70267576,-72.28975005",1.0,2013-04-26 05:55:02,1.0
u22,3.0,4.0,1.0,1.0,1.0,3.0,"43.70436769,-72.29031944",1.0,2013-04-25 20:56:39,1.0
u27,2.0,2.0,1.0,3.0,3.0,2.0,Unknown,1.0,2013-04-25 20:04:01,3.0
u30,3.0,3.0,1.0,4.0,2.0,4.0,"41.23064284,-73.0728831",1.0,2013-04-25 04:01:07,1.0
u33,1.0,5.0,3.0,1.0,4.0,1.0,"43.70144178,-72.28952801",3.0,2013-04-25 03:01:23,1.0
u43,2.0,3.0,2.0,3.0,2.0,2.0,"43.70705087,-72.28704297",2.0,2013-04-25 20:06:01,1.0
u46,3.0,1.0,1.0,4.0,2.0,5.0,"43.7057682,-72.28783018",1.0,2013-04-25 05:50:50,3.0
u49,3.0,2.0,2.0,4.0,3.0,3.0,"43.706545456769035,-72.28717399217685",1.0,2013-04-25 02:03:49,2.0
u51,2.0,1.0,2.0,2.0,3.0,1.0,"43.70632069,-72.2866932",2.0,2013-04-25 20:06:27,1.0
u53,1.0,4.0,1.0,1.0,1.0,1.0,"43.70782584,-72.28356464",1.0,2013-04-25 20:07:45,2.0
u58,1.0,3.0,4.0,2.0,3.0,3.0,"43.70624722,-72.28332992",4.0,2013-04-25 20:00:37,1.0
u59,3.0,2.0,2.0,4.0,2.0,2.0,"43.70548307429999,-72.2909040749073",2.0,2013-04-25 03:00:48,2.0
