uid,describe,location,resp_time
u00,awesome,"43.70766335,-72.28494732",2013-04-19 23:01:31
u00,funs,"43.70777105,-72.2848591",2013-04-19 23:01:20
u00,bullshit,"43.70322109,-72.31116247",2013-04-24 22:08:03
u03,directions,"43.70538026,-72.28308946",2013-04-21 17:18:39
u07,Propaganda,"43.70392925,-72.28380701",2013-04-20 06:52:01
u08,get to know dartmouth,"43.70406215,-72.28755806",2013-04-21 04:20:49
u08,get to know Dartmouth,"43.70518194,-72.28800233",2013-04-20 20:18:18
u08,introducing dartmouth,"43.70406215,-72.28755806",2013-04-21 20:20:18
u08,introduction of Dartmouth,"43.7052687,-72.28811786",2013-04-23 06:29:12
u10,propaganda,"43.70539179,-72.28841197",2013-04-21 16:44:31
u14,it finalized my decision to attend Dartmouth,"43.70547269,-72.28746745",2013-04-23 20:52:12
u16,"it's where you get a feel for Dartmouth by experiencing the classes, the people, and the campus over two activity-packed days","43.70360785,-72.29084752",2013-04-19 23:04:37
u17,enthusiasm energetic,Unknown,2013-04-20 19:45:01
u17,game changer,"43.7045396,-72.29122932",2013-04-24 19:30:02
u17,game changer,Unknown,2013-04-29 04:31:22
u18,indoctrination,"43.70724964,-72.28892471",2013-04-20 21:37:28
u18,indoctrination,"43.70738596,-72.28921522",2013-04-21 16:07:30
u19,cool sit in classes and pretend to like all the other prospies,"43.70661361,-72.2859456",2013-04-20 02:38:48
u30,great,"41.23064284,-73.0728831",2013-04-20 22:09:20
u33,"""Camp Dartmouth"" for prospective students","43.70410502,-72.29484537",2013-04-22 05:06:13
u36,aspect,"37.33018173,-121.90293537",2013-04-22 21:15:54
u43,I don't know anything about it,"44.20820242,-69.82464622",2013-04-22 02:18:34
u46,a great facade for Dartmouth that is true in some aspects,"43.70576313,-72.28783408",2013-04-25 05:49:57
u57,a fun introduction to Dartmouth,"43.73718118,-72.24986934",2013-04-20 05:00:43
u59,super cool and friendly,"43.70582476258278,-72.29042178019881",2013-04-19 23:06:21
u59,very fun and a lot of cool events,"43.70582476258278,-72.29042178019881",2013-04-20 04:22:37
u59,the protesters don't,"43.702826388180256,-72.29127505794168",2013-04-20 23:47:11
u59,the protesters were wrong for ruining dimensions,"43.702826388180256,-72.29127505794168",2013-04-20 23:47:26
u59,The students are great,"43.70554518420249,-72.2784168832004",2013-04-21 09:45:32
