uid,breakfast,dinner,location,lunch,resp_time
u00,4.0,7.0,"43.70131169,-72.28938663",4.0,2013-04-26 20:39:40
u00,4.0,8.0,"43.71722994,-72.30901577",4.0,2013-04-23 21:13:48
u00,7.0,7.0,"43.70082504,-72.28929272",7.0,2013-04-22 20:40:22
u00,7.0,7.0,"43.70082924,-72.28928288",7.0,2013-04-22 20:26:24
u00,4.0,8.0,"43.70511209,-72.28803398",8.0,2013-05-10 20:01:49
u00,7.0,1.0,"43.75921991,-72.32879322",8.0,2013-05-11 20:53:13
u00,8.0,8.0,"48.84738024,2.33970511",8.0,2013-05-05 19:54:42
u01,8.0,8.0,"43.70780807,-72.28439587",2.0,2013-04-22 17:58:24
u01,5.0,8.0,"43.70681673,-72.2892506",2.0,2013-04-23 20:30:45
u01,7.0,2.0,"43.70677267,-72.28913937",7.0,2013-04-24 20:00:29
u01,5.0,2.0,"43.70644048,-72.28928616",5.0,2013-05-05 02:00:52
u02,8.0,3.0,"43.70718673,-72.29319969",1.0,2013-04-23 18:00:34
u02,8.0,3.0,"43.70900376,-72.2843243",2.0,2013-04-22 18:09:14
u02,8.0,8.0,"43.70699798,-72.29314193",4.0,2013-04-27 22:19:05
u02,8.0,8.0,"43.70870796,-72.28461773",1.0,2013-04-25 22:01:02
u02,8.0,2.0,"43.70656081,-72.28701839",1.0,2013-05-01 02:00:34
u02,8.0,3.0,Unknown,1.0,2013-05-03 06:19:08
u02,8.0,4.0,"43.70719551,-72.29335578",3.0,2013-05-05 20:08:00
u02,8.0,7.0,"43.70715869,-72.29322026",1.0,2013-05-11 20:04:57
u02,8.0,4.0,"43.70234196,-72.28800502",1.0,2013-05-07 22:00:44
u02,8.0,7.0,"43.70626697,-72.2868116",3.0,2013-05-20 02:03:21
u03,7.0,8.0,"43.70569144,-72.28385558",7.0,2013-04-23 21:07:28
u03,7.0,8.0,"43.70560141,-72.28232665",7.0,2013-04-22 20:40:15
u04,1.0,1.0,"43.70431008,-72.28573285",1.0,2013-04-23 20:42:21
u04,1.0,3.0,"43.702935599999996,-72.28830837",4.0,2013-05-11 20:55:16
u07,8.0,3.0,"43.70425769,-72.28391582",8.0,2013-04-23 21:06:18
u07,8.0,2.0,"43.70354163,-72.28381072",8.0,2013-04-22 19:20:47
u07,8.0,2.0,"43.70389416,-72.2837747",8.0,2013-04-24 12:09:23
u07,8.0,6.0,"43.70431894,-72.28361097",3.0,2013-04-28 22:23:38
u08,8.0,2.0,"43.70343829,-72.28645877",1.0,2013-04-25 21:55:50
u08,8.0,2.0,"43.70430523,-72.28670791",8.0,2013-04-23 23:01:20
u08,8.0,2.0,"43.7052687,-72.28811786",4.0,2013-04-23 06:29:37
u08,8.0,2.0,"43.70309068,-72.28903047",1.0,2013-04-25 01:53:02
u08,8.0,1.0,"43.70295661,-72.28995533",1.0,2013-04-27 00:29:52
u08,8.0,1.0,"43.70708811,-72.28767562",1.0,2013-05-01 21:57:17
u08,8.0,3.0,"43.70708811,-72.28767562",7.0,2013-05-01 09:18:00
u08,8.0,1.0,"43.7049437,-72.28880281",1.0,2013-05-07 03:52:07
u08,8.0,3.0,"43.7037094,-72.28660102",2.0,2013-05-05 09:20:43
u08,1.0,1.0,"43.70606871,-72.28870134",1.0,2013-05-09 20:15:00
u10,3.0,3.0,"43.70324408,-72.28961597",2.0,2013-04-22 22:55:35
u10,3.0,2.0,"43.70324408,-72.28961597",3.0,2013-04-23 20:05:07
u10,3.0,2.0,"43.70239635,-72.28686905",3.0,2013-05-04 20:04:16
