uid,location,negative,nevent,pevent,positive,resp_time
u00,"43.70564911,-72.28828499",5.0,Boston bomb,spent good time my son,5.0,2013-04-18 21:06:03
u00,"43.70538577,-72.28680987",3.0,arguing,run,6.0,2013-04-23 03:42:19
u00,Unknown,7.0,Dartmouth has a problem,dinner,2.0,2013-04-25 02:42:45
u00,"43.70272732,-72.31144391",7.0,no classes,no lecture,2.0,2013-04-25 00:26:08
u00,"43.70272732,-72.31144391",6.0,,no lectures,2.0,2013-04-25 00:24:46
u00,"43.7587465,-72.32872225",4.0,,,4.0,2013-04-28 04:33:54
u00,"43.7592616,-72.32910757",3.0,,Cornell West's lecture on the inner you,7.0,2013-04-26 06:49:49
u00,"43.70388731,-72.28559842",4.0,,,4.0,2013-04-27 04:11:06
u00,"43.70668268,-72.28742209",7.0,,family dinner,3.0,2013-05-01 08:00:19
u00,"48.86010115,2.34386263",6.0,tired,train,3.0,2013-05-05 01:45:28
u00,Unknown,5.0,argument,run,3.0,2013-05-19 20:14:36
u00,Unknown,4.0,,cycling,4.0,2013-05-23 19:07:29
u00,"43.70090859,-72.28580049",3.0,,,3.0,2013-05-25 02:06:11
u00,"43.70116502,-72.28537017",4.0,colloq talk,squash win,3.0,2013-05-24 21:26:09
u00,"38.85534805,-77.04345224",7.0,that fucking rotatiller,will might buy it,4.0,2013-05-25 23:19:34
u00,"43.73299895,-72.3167073",1.0,,,1.0,2013-05-31 23:00:12
u00,"43.70575765,-72.28739513",1.0,,,1.0,2013-05-28 23:56:20
u00,"43.70006541,-72.29016831",1.0,nothing,concert,6.0,2013-05-30 23:03:47
u01,"43.70679407,-72.28926548",7.0,,,1.0,2013-05-01 09:29:38
u02,"43.70707763,-72.29324463",5.0,puppy went home,cute puppy,5.0,2013-04-27 05:36:26
u03,"43.70533882,-72.28342765",4.0,,lab3,6.0,2013-04-24 01:01:11
u03,"43.70531044,-72.2831072",4.0,graded hw,nothing,1.0,2013-04-26 16:31:12
u03,"43.70509133,-72.28263555",1.0,nothing,can't remember,4.0,2013-05-01 08:25:42
u04,"43.70415952,-72.28581184",7.0,losing a race. realizing mediocrity. one more arena in which my capacity falls short of acceptable. I suck,being told that everything em would be OK,3.0,2013-04-26 08:37:26
u04,"43.70411816,-72.28624401",5.0,losing race,figuring out research,4.0,2013-05-02 09:04:10
u04,"43.70405908,-72.28617372",5.0,a friend was annoyed by me,finishing my lab,5.0,2013-05-01 16:46:27
u07,"43.70375498,-72.28370087",5.0,Negative: mit shooting,Networks lab,5.0,2013-04-19 17:23:55
u07,"43.70425769,-72.28391582",6.0,Controversy,Finishing lab3,5.0,2013-04-23 21:31:24
u08,"43.70430223,-72.29046297",6.0,argument (assuming this is suppose to be negative),code working,4.0,2013-04-18 20:33:38
u08,"43.70518194,-72.28800233",7.0,argument,basketball,4.0,2013-04-20 20:20:26
u08,"43.70295661,-72.28995533",6.0,lab struggles,calligraphy practice,4.0,2013-04-27 00:30:31
u08,"43.70406215,-72.28755806",7.0,argument,code works,4.0,2013-04-21 20:21:04
u08,"43.7052687,-72.28811786",7.0,cs 89 code breaking,nothing really,4.0,2013-04-23 06:30:14
u08,"43.70342051,-72.2865793",4.0,nothing much,nothing much,4.0,2013-04-25 21:55:50
u08,"43.70086878,-72.28956496",4.0,struggling with iPhone app,finish work,7.0,2013-05-02 07:00:46
u08,"43.70708811,-72.28767562",7.0,doing cs lab,finish cs lab,7.0,2013-05-01 07:57:09
u08,"43.7037094,-72.28660102",5.0,nm,nm,5.0,2013-05-05 09:21:09
