uid,excited,resp_time
u00,"1,3,5,6",2013-05-19 19:57:09
u00,"1,3,5,6",2013-05-20 01:17:49
u00,"1,2,3,6,5,4",2013-05-23 01:12:49
u08,"1,2,3,4,5,6",2013-05-19 22:38:00
u10,6,2013-05-19 01:07:37
u16,"6,3,1,5",2013-05-18 19:13:35
u19,5,2013-05-20 01:50:26
u19,"1,6",2013-05-23 01:14:18
u27,,2013-05-19 01:00:10
u32,"5,3,2",2013-05-20 21:00:08
u33,"6,5",2013-05-19 00:59:16
u33,6,2013-05-21 01:15:51
u35,6,2013-05-19 01:00:19
u36,"2,3",2013-05-21 01:38:15
u44,"2,3,6",2013-05-19 01:47:19
u45,6,2013-05-20 01:02:13
u47,6,2013-05-20 01:08:10
u49,"5,6,2",2013-05-18 19:43:59
u51,"1,2,3,5",2013-05-19 01:58:31
u52,6,2013-05-20 01:21:24
u52,6,2013-05-21 01:04:25
u56,"1,2",2013-05-20 00:09:52
u57,"1,2,5,6",2013-05-19 01:10:33
u58,"2,3,6",2013-05-20 01:00:32
u59,"2,3,6",2013-05-19 01:17:12
