uid,duration,enjoy,location,resp_time
u00,8.0,2.0,"43.75903406,-72.32903539",2013-04-24 19:14:12
u00,6.0,2.0,"43.71722994,-72.30901577",2013-04-23 18:00:22
u00,8.0,4.0,"43.75923516,-72.32852538",2013-04-30 19:07:38
u00,6.0,2.0,"43.70587062,-72.28704848",2013-05-13 22:59:19
u00,1.0,1.0,"43.75918571,-72.3290479",2013-05-14 22:37:19
u00,6.0,3.0,Unknown,2013-05-03 23:43:39
u00,5.0,3.0,"43.70511209,-72.28803398",2013-05-10 21:09:31
u00,6.0,3.0,"43.70617628,-72.28851928",2013-05-09 22:31:09
u00,11.0,5.0,"43.75931316,-72.32897269",2013-05-12 21:18:26
u00,8.0,2.0,"43.38718042,-71.97095538",2013-05-18 21:04:50
u00,1.0,4.0,"43.7030517,-72.28273911",2013-05-24 01:43:54
u01,4.0,2.0,"43.70685448,-72.28901014",2013-04-23 18:13:03
u01,5.0,1.0,"43.70684561,-72.28922683",2013-05-01 01:03:08
u02,10.0,3.0,"43.70718673,-72.29319969",2013-04-23 18:00:18
u03,2.0,3.0,"43.70523196,-72.28324866",2013-05-11 21:11:10
u03,4.0,5.0,"43.70524024,-72.28309059",2013-05-06 01:20:14
u04,7.0,3.0,"43.70598285,-72.2966016",2013-04-24 19:30:48
u04,7.0,2.0,"43.7036823,-72.28575806",2013-04-30 20:01:27
u04,8.0,2.0,"43.7028707,-72.28951833",2013-05-02 20:53:50
u04,3.0,3.0,"43.702935599999996,-72.28830837",2013-05-11 22:04:42
u07,6.0,2.0,"43.70425769,-72.28391582",2013-04-23 21:31:52
u08,7.0,3.0,"43.70466963,-72.28690138",2013-04-23 23:02:13
u08,1.0,3.0,"43.70440204,-72.29052256",2013-04-25 00:57:17
u08,2.0,5.0,"43.70354089,-72.28669464",2013-04-25 21:55:51
u08,3.0,3.0,"43.70295661,-72.28995533",2013-04-27 00:30:44
u08,11.0,3.0,"43.70708811,-72.28767562",2013-05-01 09:19:34
u08,11.0,3.0,"43.7052922,-72.2885156",2013-05-01 19:01:23
u08,6.0,3.0,"43.7049437,-72.28880281",2013-05-07 03:53:10
u08,1.0,4.0,"43.7037094,-72.28660102",2013-05-05 09:20:16
u08,2.0,4.0,"43.70343934,-72.28739154",2013-05-12 21:09:57
u08,1.0,5.0,"43.70454326,-72.2895076",2013-05-09 21:58:47
u08,1.0,5.0,"43.70527997,-72.2896421",2013-05-11 21:22:49
u08,1.0,5.0,"43.70523073,-72.29167173",2013-05-10 21:34:14
u10,7.0,2.0,"43.70324408,-72.28961597",2013-04-23 18:48:16
u10,6.0,2.0,"43.70324408,-72.28961597",2013-04-24 18:36:02
u10,7.0,2.0,"43.70412157,-72.28527572",2013-05-01 19:33:18
u12,4.0,3.0,"43.63765103,-72.24846227",2013-05-07 17:59:10
u14,6.0,2.0,"43.7048191,-72.2868582",2013-04-24 18:06:53
u14,7.0,2.0,"43.7048191,-72.2868582",2013-04-24 17:18:15
u14,8.0,2.0,"43.70551311,-72.28868756",2013-05-01 19:05:53
u14,7.0,3.0,"43.7050046,-72.28909796",2013-05-09 21:08:17
u16,11.0,3.0,"43.70373954,-72.29185672",2013-04-23 16:19:49
u16,11.0,4.0,"43.70376088,-72.29035391",2013-04-30 17:11:58
u16,9.0,1.0,"43.70444528,-72.29050901",2013-05-08 21:00:15
u16,8.0,3.0,"43.70374249,-72.29050587",2013-05-15 21:35:10
u16,9.0,1.0,"43.70444528,-72.29050901",2013-05-08 18:37:46
u16,5.0,1.0,"43.70698954,-72.2871145",2013-05-17 22:15:30
u17,11.0,3.0,"43.70346607,-72.287774",2013-04-23 20:16:17
u17,11.0,3.0,"43.7045396,-72.29122932",2013-04-24 19:29:42
u17,11.0,2.0,Unknown,2013-04-29 04:33:01
u17,11.0,4.0,"43.7044126,-72.29099969",2013-04-30 20:17:06
u17,11.0,2.0,"43.70765231,-72.28532082",2013-05-02 19:51:22
u17,11.0,3.0,"43.70437147,-72.29092903",2013-05-11 22:56:36
u17,11.0,3.0,"43.7047545,-72.28932815",2013-05-14 22:37:02
u19,8.0,2.0,"43.70703558,-72.28588339",2013-04-23 16:49:07
u19,8.0,1.0,"43.70704649,-72.28577054",2013-05-01 19:55:54
u19,6.0,3.0,"43.70670191,-72.28568105",2013-05-13 20:26:07
u19,6.0,3.0,"43.70120165,-72.28667414",2013-05-14 22:47:30
u19,6.0,3.0,"43.70701211,-72.28611727",2013-05-11 21:00:53
u19,5.0,1.0,"43.70726531,-72.28611408",2013-05-04 07:24:23
u19,6.0,1.0,"43.70639951,-72.28840249",2013-05-08 21:22:41
u19,5.0,3.0,"43.70714923,-72.28728168",2013-05-12 21:00:09
u19,6.0,3.0,"43.70670191,-72.28568105",2013-05-13 22:31:31
u19,6.0,3.0,"43.70161344,-72.28714129",2013-05-17 21:45:24
u22,2.0,2.0,"43.70414897,-72.29048617",2013-04-25 05:04:25
u22,1.0,1.0,"43.70394194,-72.29039284",2013-05-14 21:00:03
u22,1.0,2.0,"43.70433388,-72.29020625",2013-05-09 21:12:21
u22,1.0,1.0,Unknown,2013-05-10 21:18:39
u22,1.0,2.0,Unknown,2013-05-12 22:42:51
u24,3.0,2.0,"43.70334641,-72.28788749",2013-05-13 23:09:27
u24,5.0,4.0,"43.40088814,-72.02075709",2013-05-17 19:32:58
u25,11.0,5.0,Unknown,2013-05-04 03:25:28
u27,4.0,3.0,"43.70417765,-72.28574551",2013-05-10 21:31:03
u30,8.0,2.0,"43.70303414,-72.28449439",2013-05-02 19:59:35
u32,7.0,2.0,"43.7031993,-72.2904444",2013-04-23 19:04:16
u32,8.0,2.0,"43.47216071,-71.99885894",2013-04-30 19:38:38
