uid,location,resp_time,tomorrow
u00,"43.7069422,-72.28679881",2013-04-25 23:08:25,2.0
u00,"43.70674491,-72.28743434",2013-05-01 02:49:06,3.0
u00,"43.66395962,-72.24163402",2013-05-03 23:43:38,1.0
u00,Unknown,2013-05-03 23:43:41,1.0
u00,Unknown,2013-05-30 05:14:47,1.0
u00,"43.75915222,-72.32954385",2013-05-28 05:43:57,1.0
u00,"43.75929059,-72.32919777",2013-05-27 04:38:12,1.0
u00,"43.70434788,-72.28657033",2013-05-29 04:51:57,1.0
u00,"43.70647159,-72.28748884",2013-05-31 04:58:43,1.0
u00,"43.75936117,-72.32975719",2013-06-02 04:54:12,1.0
u00,"43.63321754,-72.3016832",2013-08-13 01:08:29,1.0
u01,"43.7069159,-72.28906355",2013-04-25 08:35:14,1.0
u01,"43.70656912,-72.28822648",2013-05-02 03:30:09,3.0
u02,"43.70870796,-72.28461773",2013-04-25 22:00:14,2.0
u02,"43.70656081,-72.28701839",2013-05-01 02:00:10,1.0
u03,"43.70536778,-72.28319203",2013-05-02 03:37:39,2.0
u03,"43.70579533,-72.28356911",2013-05-12 19:34:54,2.0
u04,"43.70409969,-72.28766526",2013-05-02 04:26:34,2.0
u07,"43.70362097,-72.28406105",2013-04-25 06:25:15,1.0
u07,"43.70431894,-72.28361097",2013-04-28 22:22:47,2.0
u08,"43.70440204,-72.29052256",2013-04-25 00:54:52,2.0
u08,"43.70388197,-72.28693527",2013-04-25 22:54:22,1.0
u08,"43.70352696,-72.28678547",2013-04-25 21:55:52,2.0
u08,"43.70295661,-72.28995533",2013-04-27 00:31:02,2.0
u08,"43.70708811,-72.28767562",2013-05-01 09:17:09,1.0
u08,"43.70502255,-72.28804551",2013-05-03 02:56:18,2.0
u08,"43.7037094,-72.28660102",2013-05-05 09:20:06,2.0
u08,"43.7049437,-72.28880281",2013-05-07 03:53:18,3.0
u10,"43.70297206,-72.28625376",2013-04-25 05:39:48,2.0
u10,"43.70324408,-72.28961597",2013-04-25 01:22:38,2.0
u10,"43.70330372,-72.2898598",2013-04-25 23:47:36,2.0
u10,"43.70775839,-72.28616516",2013-05-01 04:07:22,2.0
u12,"43.70829158,-72.28647229",2013-04-26 22:23:32,2.0
u12,"43.65357174,-72.24383228",2013-05-01 04:36:49,2.0
u12,"43.63761929,-72.24842467",2013-05-31 04:10:19,1.0
u14,"43.70453787,-72.28741118",2013-04-25 22:08:48,1.0
u14,Unknown,2013-04-27 23:05:10,2.0
u14,"43.70595378,-72.28847925",2013-05-02 02:01:13,1.0
u14,Unknown,2013-05-26 04:05:30,1.0
u16,"43.70381392,-72.29084126",2013-04-26 20:06:56,2.0
u16,"43.70381392,-72.29084126",2013-04-26 06:15:42,2.0
u16,"43.70376923,-72.29082966",2013-04-27 22:53:34,2.0
u16,"43.70383449,-72.29122954",2013-04-27 04:35:04,2.0
u16,"43.70376088,-72.29035391",2013-04-30 17:12:26,1.0
u16,"43.70545477,-72.28953205",2013-05-02 02:54:02,2.0
u16,Unknown,2013-05-01 21:19:29,2.0
u16,"43.70397531,-72.28989529",2013-05-05 17:09:49,2.0
u16,"43.70534496,-72.29049134",2013-05-07 17:47:46,3.0
u16,"43.70391463,-72.28988644",2013-05-15 00:11:16,2.0
u16,"43.70369577,-72.29064258",2013-05-06 17:17:35,3.0
u16,"43.70360319,-72.29109274",2013-05-03 23:06:10,2.0
u16,"43.70339979,-72.28817654",2013-05-13 21:31:22,2.0
u16,"43.70355342,-72.29047722",2013-05-04 18:20:13,2.0
u16,"43.70317722,-72.28939878",2013-05-11 16:36:33,2.0
u16,"43.70363675,-72.29111179",2013-05-09 01:10:25,3.0
u16,Unknown,2013-05-12 19:14:44,2.0
u16,"43.70374249,-72.29050587",2013-05-15 21:35:41,2.0
u16,Unknown,2013-05-21 02:47:12,2.0
