uid,how,location,resp_time
u00,1.0,"48.84738024,2.33970511",2013-05-05 19:54:43
u00,3.0,"43.70511209,-72.28803398",2013-05-11 00:11:07
u00,1.0,"43.75921991,-72.32879322",2013-05-12 00:02:17
u00,1.0,"43.70587062,-72.28704848",2013-05-14 00:18:42
u00,1.0,"43.75887815,-72.32893078",2013-05-13 00:43:25
u00,1.0,"43.75923897,-72.32921506",2013-05-19 19:56:38
u00,3.0,Unknown,2013-05-20 00:13:13
u00,1.0,"43.70001843,-72.28930482",2013-05-23 00:14:06
u00,1.0,"43.70659363,-72.28727549",2013-05-28 00:15:46
u00,1.0,"38.8547716,-77.04399257",2013-05-26 00:00:45
u00,1.0,"43.87473353,-72.17845302",2013-06-01 00:58:18
u00,1.0,,2013-05-31 00:05:09
u00,1.0,"43.99927111,-71.82180466",2013-06-02 01:13:18
u00,3.0,"43.75910573,-72.32818315",2013-06-03 03:04:50
u00,1.0,"43.70258236,-72.28403025",2013-06-04 00:04:57
u01,1.0,"43.7034112,-72.28787142",2013-04-26 23:47:43
u01,1.0,"43.70143085,-72.28787164",2013-05-09 23:44:52
u02,2.0,"43.70870796,-72.28461773",2013-04-25 22:01:40
u02,1.0,"43.70712183,-72.29302727",2013-04-27 05:39:52
u02,1.0,Unknown,2013-05-03 06:19:16
u02,3.0,"43.70234196,-72.28800502",2013-05-07 22:00:18
u03,2.0,"43.70520317,-72.28305108",2013-05-06 01:20:00
u03,2.0,"43.70549602,-72.28304668",2013-05-13 02:41:41
u03,2.0,"43.70579533,-72.28356911",2013-05-12 19:34:44
u04,2.0,"43.70298642,-72.29865063",2013-04-27 22:11:53
u04,1.0,"43.70409419,-72.28837062",2013-05-14 01:35:37
u04,2.0,"43.70272466,-72.28964384",2013-05-09 22:50:06
u04,1.0,"43.70212944,-72.28954547",2013-05-05 22:11:04
u04,2.0,"43.70272466,-72.28964384",2013-05-10 02:09:55
u04,1.0,"43.7019109,-72.28816483",2013-05-15 01:33:45
u04,3.0,"43.70418838,-72.28588415",2013-05-11 02:33:54
u08,2.0,"43.70354857,-72.28679727",2013-04-25 21:55:52
u08,2.0,"43.70295661,-72.28995533",2013-04-27 00:31:05
u08,1.0,"43.70708811,-72.28767562",2013-05-01 09:17:05
u08,2.0,"43.7037094,-72.28660102",2013-05-05 09:20:00
u08,3.0,"43.7049437,-72.28880281",2013-05-07 03:53:29
u08,3.0,"43.70606871,-72.28870134",2013-05-08 22:47:39
u08,2.0,"43.70599638,-72.2882258",2013-05-22 00:00:13
u10,2.0,"43.70330372,-72.2898598",2013-04-26 16:31:08
u10,2.0,"43.70330372,-72.2898598",2013-04-26 22:02:30
u10,1.0,"43.70626207,-72.28820769",2013-04-27 04:18:02
u10,2.0,"43.70721373,-72.28551043",2013-05-10 02:00:47
u10,3.0,"43.7035419,-72.28496666",2013-05-04 02:04:56
u10,1.0,"43.70345358,-72.28778708",2013-05-14 01:54:06
u10,2.0,"43.70721373,-72.28551043",2013-05-09 22:48:44
u10,3.0,"43.70651291,-72.28794506",2013-05-06 23:42:27
