uid,resp_time,hour,location,rate,social
u00,2013-03-25 18:54:36,8.0,"43.70692415,-72.2873929",1.0,1.0
u00,2013-04-03 17:27:27,5.0,"43.70708859,-72.28753397",3.0,2.0
u00,2013-03-26 21:46:45,8.0,"43.70759062,-72.28510298",1.0,1.0
u00,2013-03-26 18:07:14,7.0,"43.70393682,-72.30152284",2.0,1.0
u00,2013-03-27 04:09:49,8.0,"43.75932116,-72.32890406",3.0,1.0
u00,2013-03-27 18:18:27,8.0,"43.70688822,-72.28758629",1.0,1.0
u00,2013-03-28 02:25:12,6.0,"43.70528646,-72.28684485",2.0,1.0
u00,2013-03-28 17:00:35,7.0,"43.70567695,-72.2879286",2.0,1.0
u00,2013-03-29 15:57:08,4.0,"43.70466313,-72.30515871",3.0,1.0
u00,2013-03-29 02:04:50,8.0,"43.70671862,-72.28748696",1.0,1.0
u00,2013-03-29 17:22:29,4.0,"43.70647015,-72.28715547",3.0,1.0
u00,2013-03-29 19:03:15,8.0,"43.70777831,-72.28510534",1.0,1.0
u00,2013-03-31 17:24:17,9.0,"43.75914412,-72.32945574",2.0,1.0
u00,2013-04-01 17:11:06,3.0,"43.70677717,-72.2874797",4.0,1.0
u00,2013-04-04 17:06:33,10.0,"43.70708859,-72.28753397",2.0,2.0
u00,2013-04-05 17:00:15,4.0,"43.70708859,-72.28753397",1.0,1.0
u00,2013-04-07 18:07:19,9.0,"43.70708859,-72.28753397",1.0,1.0
u00,2013-04-06 17:12:30,9.0,"43.70708859,-72.28753397",2.0,2.0
u00,2013-04-08 17:00:32,5.0,"43.70678333,-72.28754051",1.0,1.0
u00,2013-04-08 17:00:44,4.0,"43.70680961,-72.28757253",3.0,1.0
u00,2013-04-09 17:45:23,6.0,"43.64301116,-72.30784768",3.0,1.0
u00,2013-04-10 17:27:02,5.0,"43.705058,-72.28772623",1.0,1.0
u00,2013-04-11 17:25:29,8.0,"43.70414319,-72.28774882",1.0,1.0
