uid,resp_time,location,number
u00,2013-03-26 02:21:23,Unknown,5.0
u00,2013-03-26 22:51:41,"43.70759062,-72.28510298",1.0
u00,2013-03-26 20:13:18,"43.70697406,-72.28758978",1.0
u00,2013-04-03 21:16:37,"43.70708859,-72.28753397",3.0
u00,2013-03-27 23:09:03,"43.70863158,-72.2842741",4.0
u00,2013-03-28 02:25:20,"43.70517792,-72.28685304",3.0
u00,2013-03-29 16:03:43,"43.70546998,-72.28794136",4.0
u00,2013-03-29 05:14:08,"43.70674964,-72.2875834",4.0
u00,2013-03-29 06:00:01,"43.70674964,-72.2875834",4.0
u00,2013-03-30 06:07:28,"43.70664323,-72.28735129",4.0
u00,2013-03-31 06:11:24,"43.75941375,-72.32875076",2.0
u00,2013-04-01 07:41:16,"43.75907887,-72.32921107",2.0
u00,2013-04-04 03:36:56,"43.70708859,-72.28753397",3.0
u00,2013-04-03 04:57:43,"43.787638,-72.32241148",2.0
u00,2013-04-05 04:20:58,"43.70708859,-72.28753397",4.0
u00,2013-04-05 20:38:43,"43.70708859,-72.28753397",5.0
u00,2013-04-08 08:08:04,"43.78764103,-72.32252081",4.0
u00,2013-04-09 20:11:41,"43.65303742,-72.30996674",5.0
u00,2013-04-10 19:19:52,"43.705058,-72.28772623",4.0
u00,2013-04-11 20:00:32,"43.70414319,-72.28774882",3.0
u00,2013-04-10 20:57:49,"43.70320123,-72.28865299",4.0
u00,2013-04-12 21:39:27,"43.70444924,-72.28793809",3.0
u00,2013-04-17 20:27:50,"43.70875092,-72.28435213",4.0
u00,2013-04-19 06:00:23,"43.75872078,-72.32869187",3.0
u00,2013-04-21 07:54:23,"43.75917542,-72.32926548",2.0
u00,2013-04-23 07:30:51,"43.75927356,-72.32923496",3.0
u00,2013-05-07 00:31:32,"48.85374768,2.32779888",4.0
u00,2013-05-10 08:06:15,"43.75915207,-72.32893824",4.0
u00,2013-05-06 00:39:37,"48.85875992,2.36238333",3.0
u00,2013-05-11 17:20:36,"43.75928658,-72.32924066",4.0
u00,2013-05-13 15:04:54,"43.75940174,-72.32918372",3.0
u00,2013-05-14 15:06:57,"43.75883975,-72.32934752",4.0
u00,2013-05-12 17:06:39,"43.75935021,-72.32916566",2.0
u00,2013-05-21 16:34:55,"43.70625307,-72.28700801",1.0
u00,2013-05-28 02:00:24,"43.70659363,-72.28727549",2.0
u00,2013-05-25 06:10:31,"38.9057069,-77.03396292",2.0
u00,2013-05-27 03:39:02,"43.75912044,-72.3291579",2.0
u00,2013-05-29 02:35:14,"43.70434788,-72.28657033",2.0
u00,2013-05-30 02:10:54,Unknown,2.0
u00,2013-05-31 02:01:00,"43.70006541,-72.29016831",3.0
u00,2013-06-02 02:19:40,"43.73283379,-72.25842981",2.0
u00,2013-06-03 05:59:14,"43.75910573,-72.32818315",1.0
u00,2013-06-04 02:07:33,"43.70258236,-72.28403025",1.0
u00,2013-06-06 05:35:46,"43.66724891,-72.31884989",2.0
u01,2013-03-27 04:45:45,"43.70693516,-72.28748551",4.0
u01,2013-03-27 04:45:47,"43.70640008,-72.28886262",4.0
u01,2013-04-03 17:54:26,"43.70506577,-72.29201827",2.0
u01,2013-03-27 22:37:56,"43.70678246,-72.289184",2.0
u01,2013-03-29 06:20:14,"43.70696787,-72.28902663",4.0
u01,2013-03-30 06:00:14,"43.70698995,-72.28913573",3.0
u01,2013-03-31 06:39:32,"43.70680994,-72.28923207",4.0
u01,2013-04-05 04:08:18,"43.70674954,-72.28920665",4.0
u01,2013-04-07 07:52:38,"43.70670639,-72.28907917",3.0
u01,2013-04-06 04:37:49,"43.69935393,-72.29030653",4.0
u01,2013-04-06 04:37:22,"43.69935393,-72.29030653",4.0
u01,2013-04-08 06:30:04,"43.70644183,-72.2892299",4.0
u01,2013-04-10 20:25:43,"43.70678215,-72.28917973",3.0
u01,2013-04-16 06:00:21,"43.7067925,-72.28917303",4.0
u01,2013-04-12 20:28:19,"43.70684932,-72.28899775",2.0
u01,2013-04-17 06:00:07,"43.70680473,-72.28919958",4.0
u01,2013-04-18 07:22:48,"43.70687856,-72.28943709",4.0
u01,2013-04-19 06:48:21,"43.7064275,-72.28908974",4.0
u02,2013-03-30 10:42:30,"43.70709166,-72.29282882",3.0
u02,2013-03-27 02:00:43,"43.70722118,-72.29347434",3.0
u02,2013-03-29 06:03:56,"43.70704851,-72.29352529",4.0
u02,2013-04-01 06:07:56,"43.70712733,-72.29338199",3.0
u02,2013-04-08 07:16:14,"43.70620445,-72.29116858",4.0
u02,2013-04-05 04:15:57,"43.7070604,-72.29313622",3.0
u02,2013-04-07 06:11:04,"43.70695809,-72.29258525",3.0
u02,2013-04-09 06:30:38,"43.70719741,-72.29304273",2.0
u02,2013-04-10 20:16:32,"43.7069528,-72.2931724",3.0
u02,2013-04-12 20:05:40,"43.70847866,-72.28433145",3.0
u02,2013-04-11 20:00:13,"43.70791892,-72.28484015",4.0
u02,2013-04-13 20:09:47,"43.70725458,-72.29319166",2.0
u02,2013-04-18 06:03:04,"43.70709895,-72.29314257",3.0
u02,2013-04-14 20:22:36,"43.70306572,-72.29094266",2.0
u02,2013-04-16 06:00:13,"43.70685857,-72.29270076",2.0
u02,2013-04-21 06:07:01,"43.70730987,-72.29311925",3.0
u02,2013-04-22 06:18:16,"43.70637115,-72.28677143",3.0
u02,2013-04-23 06:13:01,"43.70597948,-72.28876093",2.0
u02,2013-05-06 06:32:02,"43.70733654,-72.29309241",3.0
u02,2013-05-25 06:05:27,"43.64550248,-72.31783898",1.0
u03,2013-03-31 23:50:39,"43.70531824,-72.28324444",1.0
u03,2013-03-27 18:47:55,"43.70540211,-72.28318209",2.0
u03,2013-03-27 18:47:57,"43.70525296,-72.28308162",1.0
u03,2013-03-28 00:09:22,"43.70529598,-72.28322475",3.0
u03,2013-03-31 23:50:34,"43.70530653,-72.2831011",2.0
u03,2013-03-31 23:50:45,"43.70535266,-72.28309587",2.0
u03,2013-03-31 23:50:42,"43.70535266,-72.28309587",1.0
u03,2013-04-01 07:58:25,"43.70531274,-72.28305168",1.0
u03,2013-04-07 18:12:12,"43.70528579,-72.28310255",2.0
u03,2013-04-05 17:29:51,"43.70532086,-72.2832369",1.0
u03,2013-04-16 06:20:26,"43.7053649,-72.28294338",1.0
u03,2013-04-09 17:05:28,"43.705293,-72.28306177",2.0
u03,2013-04-13 20:00:18,"43.70757708,-72.28323056",1.0
u03,2013-04-18 07:50:28,"43.70523965,-72.28314435",2.0
u03,2013-04-21 09:29:33,"43.70535349,-72.28311717",2.0
