uid,location,place,productivity,resp_time,noise
u00,"43.70863122,-72.28437025",office,3.0,2013-04-29 22:53:36,1.0
u00,Unknown,home,2.0,2013-04-28 23:36:59,3.0
u00,Unknown,pub,2.0,2013-05-03 23:43:41,3.0
u00,"48.84434287,2.3817956",nowhere,1.0,2013-05-05 19:54:43,3.0
u00,"43.75935707,-72.32903883",home,3.0,2013-05-10 04:02:45,4.0
u00,"43.71874558,-72.31528314",homw,3.0,2013-05-13 04:07:26,2.0
u00,"43.75933273,-72.32894416",,1.0,2013-05-14 04:14:07,1.0
u02,"43.70681765,-72.28774484",sudi 002,3.0,2013-05-05 00:01:55,2.0
u02,"43.70717804,-72.29340364",my room,3.0,2013-05-14 04:01:19,1.0
u03,"43.70528148,-72.28337421",home,1.0,2013-04-28 22:00:09,1.0
u04,"43.70557936,-72.29646817",my room,3.0,2013-04-26 02:22:39,1.0
u04,"43.70447233,-72.29051413",Ripley 205,4.0,2013-04-29 23:03:12,3.0
u04,"43.70272065,-72.28779543",king Arthur flour,2.0,2013-05-12 05:14:46,3.0
u08,"43.70277439,-72.28880163",berry 1,3.0,2013-04-26 07:14:24,1.0
u08,"43.70388197,-72.28693527",McLane,1.0,2013-04-25 21:56:14,1.0
u08,"43.70388197,-72.28693527",kemeny 006,4.0,2013-04-26 01:48:51,3.0
u08,"43.70295661,-72.28995533",sudi,3.0,2013-04-27 00:31:54,2.0
u08,"43.70295661,-72.28995533",sudi,3.0,2013-04-27 00:31:45,1.0
u08,"43.70277439,-72.28880163",mclane,2.0,2013-04-26 08:20:01,1.0
u08,"43.70708811,-72.28767562",sudi 003,4.0,2013-05-01 09:16:37,1.0
u08,"43.70708811,-72.28767562",my room,3.0,2013-05-01 21:55:57,2.0
u08,"43.70502255,-72.28804551",my room,2.0,2013-05-03 07:00:26,4.0
u08,"43.70386267,-72.288915",sudi,3.0,2013-05-15 18:09:01,2.0
u08,"43.7049437,-72.28880281",berry 1,3.0,2013-05-07 03:53:51,2.0
u08,"43.70454326,-72.2895076",kaf,1.0,2013-05-09 21:59:22,4.0
u08,"43.7037094,-72.28660102",my room.,1.0,2013-05-05 09:19:31,4.0
u08,"43.70343934,-72.28739154",my room,1.0,2013-05-12 04:23:06,2.0
u08,"43.70573461,-72.28972765",sudi,2.0,2013-05-19 22:36:21,2.0
u08,"43.70447785,-72.29155849",my room,1.0,2013-05-23 13:39:08,3.0
u10,"43.70330372,-72.2898598",lib,2.0,2013-04-26 00:30:37,1.0
u10,"43.70151131,-72.28813703",lub,1.0,2013-04-28 21:59:48,1.0
u10,"43.70239663,-72.28686701",,1.0,2013-05-05 01:21:57,1.0
u10,"43.70200305,-72.28757046",liba,1.0,2013-05-13 04:30:39,1.0
u10,"43.70431466,-72.28543542",,1.0,2013-05-04 00:26:57,1.0
u10,"43.70260777,-72.2878145",sudi,2.0,2013-05-11 04:22:08,3.0
u14,"43.70453787,-72.28741118",sudikoff,4.0,2013-04-26 00:10:25,1.0
u16,"43.70383449,-72.29122954",room,3.0,2013-04-27 04:35:49,1.0
u16,"43.70378913,-72.29087644",dorm room,3.0,2013-04-28 22:03:47,1.0
u16,"43.70376088,-72.29035391",lab 005  sudikoff,3.0,2013-04-30 22:01:02,3.0
u16,Unknown,dorm room,1.0,2013-05-01 22:16:10,4.0
u16,"43.70661175,-72.28789246",lab 005,3.0,2013-05-02 22:12:11,2.0
u16,Unknown,dorm room,1.0,2013-05-13 05:24:34,3.0
u16,"43.70397531,-72.28989529",dorm room,3.0,2013-05-05 00:15:37,4.0
u16,"43.70317722,-72.28939878",dorm room,1.0,2013-05-11 05:28:27,4.0
u16,"43.70374249,-72.29050587",lab 005,3.0,2013-05-15 21:33:15,2.0
u17,"43.70366438,-72.2901632",dorm,3.0,2013-04-28 00:24:00,1.0
u17,Unknown,gile,1.0,2013-04-29 23:07:21,1.0
u17,"43.7060191,-72.28758328",gilw,1.0,2013-04-26 00:03:23,2.0
u17,"43.7044126,-72.29099969",dorm,3.0,2013-04-30 22:10:50,4.0
u17,Unknown,dorm,4.0,2013-04-29 04:34:27,1.0
u17,"43.70441582,-72.29136839",gile,2.0,2013-05-05 00:09:58,2.0
u17,Unknown,gile,2.0,2013-05-11 08:13:46,2.0
u17,"43.70419436,-72.29111957",dirt cowboy,4.0,2013-05-17 09:53:25,2.0
u17,"43.70437147,-72.29092903",gile,2.0,2013-05-12 05:07:38,1.0
u17,"43.7047545,-72.28932815",gile,3.0,2013-05-14 04:02:17,2.0
u17,"43.70465377,-72.29113067",gile,3.0,2013-05-22 19:15:48,3.0
u17,Unknown,gile,2.0,2013-05-24 12:07:00,4.0
u18,"43.70623193,-72.28691743",clh,1.0,2013-04-26 01:40:23,1.0
u18,"43.70406013,-72.29051606",LSC,2.0,2013-05-24 01:19:44,2.0
u19,"43.70670747,-72.28550624",mcloughlin,3.0,2013-04-28 23:34:46,1.0
u19,"43.70581683,-72.28726988",McLaughlin,3.0,2013-04-29 22:03:56,1.0
