,NEWCollabToolsWorkedWith,Confluence,Jira,Slack,Microsoft Azure,Trello,Github,Gitlab,"Google Suite (Docs, Meet, etc)",Microsoft Teams,Stack Overflow for Teams,Facebook Workplace
0,Confluence;Jira;Slack;Microsoft Azure;Trello,1,1,1,1,1,0,0,0,0,0,0
1,Confluence;Jira;Github;Gitlab;Slack,1,1,1,0,0,1,1,0,0,0,0
2,,0,0,0,0,0,0,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0
4,"Confluence;Jira;Github;Slack;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,0,1,0,0,0
5,Confluence;Github;Slack;Trello,1,0,1,0,1,1,0,0,0,0,0
6,,0,0,0,0,0,0,0,0,0,0,0
7,"Confluence;Jira;Github;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",1,1,1,0,0,1,0,1,1,0,0
8,"Github;Slack;Trello;Google Suite (Docs, Meet, etc)",0,0,1,0,1,1,0,1,0,0,0
9,Github;Microsoft Teams,0,0,0,0,0,1,0,0,1,0,0
10,"Confluence;Jira;Github;Slack;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",1,1,1,1,1,1,0,1,1,1,0
11,Github,0,0,0,0,0,1,0,0,0,0,0
12,,0,0,0,0,0,0,0,0,0,0,0
13,Confluence;Jira;Github;Microsoft Teams,1,1,0,0,0,1,0,0,1,0,0
14,Github,0,0,0,0,0,1,0,0,0,0,0
15,"Github;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",0,0,1,0,0,1,0,1,0,1,0
16,"Github;Gitlab;Slack;Microsoft Teams;Google Suite (Docs, Meet, etc)",0,0,1,0,0,1,1,1,1,0,0
17,Github;Slack,0,0,1,0,0,1,0,0,0,0,0
18,Confluence;Jira;Github;Slack,1,1,1,0,0,1,0,0,0,0,0
19,Jira;Github,0,1,0,0,0,1,0,0,0,0,0
20,"Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",0,0,0,0,1,1,1,1,0,0,0
21,,0,0,0,0,0,0,0,0,0,0,0
