,DatabaseWorkedWith,Elasticsearch,Microsoft SQL Server,Oracle,MySQL,PostgreSQL,Redis,SQLite,MariaDB,Firebase,MongoDB,IBM DB2,DynamoDB,Cassandra,Couchbase
0,Elasticsearch;Microsoft SQL Server;Oracle,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,MySQL;PostgreSQL;Redis;SQLite,0,0,0,1,1,1,1,0,0,0,0,0,0,0
5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,MariaDB;MySQL;Redis,0,0,0,1,0,1,0,1,0,0,0,0,0,0
8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Firebase;MongoDB;PostgreSQL;SQLite,0,0,0,0,1,0,1,0,1,1,0,0,0,0
11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Firebase;Microsoft SQL Server,0,1,0,0,0,0,0,0,1,0,0,0,0,0
14,MySQL;Oracle,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,Microsoft SQL Server;PostgreSQL,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17,Elasticsearch;MariaDB;MySQL;Redis;SQLite,1,0,0,1,0,1,1,1,0,0,0,0,0,0
18,MariaDB;Microsoft SQL Server,0,1,0,0,0,0,0,1,0,0,0,0,0,0
19,IBM DB2;MariaDB;Microsoft SQL Server;MySQL,0,1,0,1,0,0,0,1,0,0,1,0,0,0
20,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL,0,1,0,1,0,0,0,1,1,1,0,0,0,0
21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,PostgreSQL;SQLite,0,0,0,0,1,0,1,0,0,0,0,0,0,0
24,Oracle,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,Elasticsearch;MySQL;PostgreSQL;SQLite,1,0,0,1,1,0,1,0,0,0,0,0,0,0
