,WebframeWorkedWith,ASP.NET,ASP.NET Core,Ruby on Rails,Flask,jQuery,Angular,Angular.js,Django,React.js,Vue.js,Gatsby,Spring,Express,Symfony,Laravel,Drupal
0,ASP.NET;ASP.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Ruby on Rails,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Flask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Flask;jQuery,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10,Angular;Angular.js;Django;React.js,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
11,ASP.NET;jQuery,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Angular;Vue.js,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,jQuery;React.js,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
16,ASP.NET;Gatsby;jQuery;React.js;Vue.js,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Angular;Angular.js;ASP.NET Core,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
19,Angular.js;Spring,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
20,Angular;ASP.NET Core;Express;React.js;Spring,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Django;React.js,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
26,Flask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Express;Vue.js,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Angular;Angular.js;Django;Express;React.js,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0
33,Angular;Express,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
34,Express;jQuery,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
35,Express;React.js,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
36,Express;jQuery;React.js;Vue.js,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
37,Express;Gatsby;React.js,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,ASP.NET;Vue.js,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,ASP.NET;Flask;React.js;Spring,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
42,ASP.NET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Angular;Flask;jQuery;Spring,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
45,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Flask;Spring,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
47,Gatsby;Ruby on Rails,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
48,ASP.NET;ASP.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,Django;React.js,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Flask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Symfony,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
58,ASP.NET;jQuery;Laravel;Ruby on Rails,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Angular.js;jQuery,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
61,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Angular,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,ASP.NET;ASP.NET Core;jQuery;Vue.js,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
65,Django;jQuery,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
66,Ruby on Rails,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Django;Flask,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
69,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,Angular.js;React.js;Symfony;Vue.js,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
71,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Angular.js;Express;Vue.js,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
73,Angular;Angular.js;ASP.NET;ASP.NET Core;Gatsby,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
74,Angular.js;Express;jQuery;React.js,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,jQuery;Laravel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
78,Angular.js;jQuery;Vue.js,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
79,Angular;ASP.NET;ASP.NET Core,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,Laravel;Symfony;Vue.js,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
81,ASP.NET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Django,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,ASP.NET;ASP.NET Core;jQuery;React.js,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
85,React.js,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
86,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Angular;Angular.js;ASP.NET;ASP.NET Core;Express;jQuery;React.js;Vue.js,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0
89,jQuery;Ruby on Rails,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
90,Express;Spring;Symfony,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
91,Drupal;jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
92,Flask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,Express;Gatsby;React.js,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
94,Gatsby;React.js,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,React.js,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,Angular.js;ASP.NET;ASP.NET Core;jQuery,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Flask;jQuery,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
102,ASP.NET Core;jQuery;Laravel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
103,Angular;ASP.NET;ASP.NET Core;jQuery;Vue.js,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
104,ASP.NET;ASP.NET Core,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Gatsby;React.js,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
106,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Express;Flask;jQuery;React.js,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
108,Angular;Angular.js;jQuery;React.js;Spring,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
109,Angular;Express;jQuery,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
110,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Angular.js;ASP.NET,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
112,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Spring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
114,Angular;Express;jQuery;Spring,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
115,Express;jQuery;Laravel;React.js,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
116,Django;Flask;jQuery;Ruby on Rails,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
117,ASP.NET Core;React.js,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118,Laravel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
119,Django;Vue.js,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
120,Angular.js;Express;React.js;Spring,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
121,Spring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
122,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Laravel;React.js,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Angular.js;ASP.NET Core;React.js,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
127,Express;Flask;Vue.js,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
128,ASP.NET;jQuery,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,Vue.js,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,Gatsby;React.js,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
131,Angular;Angular.js;ASP.NET;ASP.NET Core;Express;jQuery;Laravel,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0
132,Express;Gatsby;React.js,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
133,Flask,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
134,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Angular;Angular.js;ASP.NET;ASP.NET Core;jQuery;React.js;Vue.js,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0
137,Angular,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
138,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,ASP.NET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Angular.js,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
142,Angular;jQuery,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
143,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,ASP.NET;ASP.NET Core;React.js,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
145,Express;Flask,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
146,Ruby on Rails,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
147,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,jQuery;Laravel;Vue.js,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
150,ASP.NET;ASP.NET Core;jQuery;Vue.js,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
151,React.js;Spring,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
152,Express;jQuery,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
153,Angular;Angular.js;Drupal;jQuery;Laravel;React.js;Symfony;Vue.js,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1
154,Express;React.js,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
155,Angular,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
156,React.js;Ruby on Rails,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
157,ASP.NET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Django;Flask;jQuery;React.js,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
159,Angular;Django;jQuery;React.js,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
160,Angular;Drupal;jQuery,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
161,Angular;ASP.NET;ASP.NET Core;jQuery,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
162,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,Angular.js;Vue.js,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
164,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Angular;Angular.js;jQuery;Laravel,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
166,Gatsby;jQuery;React.js,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
167,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Django;Express;Flask;jQuery;React.js,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0
169,Angular;ASP.NET;ASP.NET Core;jQuery,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
170,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,ASP.NET;ASP.NET Core;jQuery;Laravel;Vue.js,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
172,ASP.NET;ASP.NET Core;Flask,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
173,Django;Flask;jQuery;React.js,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
174,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,ASP.NET;ASP.NET Core;jQuery;React.js,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
177,Angular;Angular.js;ASP.NET;ASP.NET Core;Express;Gatsby;jQuery;React.js,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0
178,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
180,Angular;Angular.js;Express,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
181,jQuery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
182,Gatsby;React.js,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
183,Angular;ASP.NET;ASP.NET Core;jQuery,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
184,Express,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
185,Django;Flask,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
186,ASP.NET;ASP.NET Core;jQuery,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,Angular;Angular.js;jQuery;Spring,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
188,React.js,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
189,Angular.js;Django;Flask;jQuery;Laravel;React.js,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0
190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Flask;Spring,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
193,Ruby on Rails;Vue.js,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
194,Angular;Angular.js;ASP.NET;ASP.NET Core,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
