,PlatformWorkedWith,Windows,iOS,AWS,Docker,Linux,MacOS,Android,WordPress,Raspberry Pi,Heroku,Google Cloud Platform,Kubernetes,Arduino,Slack Apps and Integrations,Microsoft Azure,IBM Cloud or Watson
0,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,iOS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,AWS;Docker;Linux;MacOS;Windows,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
5,Android;Docker;WordPress,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Docker,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,WordPress,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Android;Linux;Raspberry Pi;Windows,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
10,AWS;Heroku;iOS,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11,Windows;WordPress,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,MacOS;Windows,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,Google Cloud Platform;Windows,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0
16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,AWS;Linux,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
18,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Heroku;Linux;Windows,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
20,Android;Docker;Heroku;iOS;Linux;MacOS;WordPress,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
